Time			Process		PID	Message		
----------		-------		-----	-------
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.dhcpsrv.0xe15fe612000] DHCPSRV_CFGMGR_SOCKET_TYPE_SELECT using socket type raw
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.commands.0xe15fe612000] COMMAND_ACCEPTOR_START Starting to accept connections via unix domain socket bound to /tmp/kea6-ctrl-socket
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.lease-cmds-hooks.0xe15fe612000] LEASE_CMDS_INIT_OK loading Lease Commands hooks library successful
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.hooks.0xe15fe612000] HOOKS_LIBRARY_LOADED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully loaded
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.dhcp6.0xe15fe612000] DHCP6_CONFIG_COMPLETE DHCPv6 server has completed configuration: no IPv6 subnets!; DDNS: disabled
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.dhcpsrv.0xe15fe612000] DHCPSRV_MEMFILE_DB opening memory file lease database: name=/var/lib/kea/dhcp6.leases persist=true type=memfile universe=6
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.dhcpsrv.0xe15fe612000] DHCPSRV_MEMFILE_LEASE_FILE_LOAD loading leases from file /var/lib/kea/dhcp6.leases
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.dhcpsrv.0xe15fe612000] DHCPSRV_MEMFILE_BUILD_EXTENDED_INFO_TABLES6 building extended info tables saw 0 leases, extended info sanity checks modified 0 / updated 0 leases and 0 leases were entered into tables
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.dhcpsrv.0xe15fe612000] DHCPSRV_MEMFILE_LFC_SETUP setting up the Lease File Cleanup interval to 3600 sec
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.dhcp6.0xe15fe612000] DHCP6_USING_SERVERID server is using server-id 00:01:00:06:2f:9a:e6:b7:08:00:27:42:16:cf and stores in the file /var/db/kea/kea-dhcp6-serverid
Apr 22 19:56:31 	kea-dhcp6 	40207 	WARN [kea-dhcp6.dhcpsrv.0xe15fe612000] DHCPSRV_NO_SOCKETS_OPEN no interface configured to listen to DHCP traffic
Apr 22 19:56:31 	kea-dhcp6 	40207 	WARN [kea-dhcp6.dhcp6.0xe15fe612000] DHCP6_MULTI_THREADING_INFO enabled: yes, number of threads: 2, queue size: 64
Apr 22 19:56:31 	kea-dhcp6 	40207 	INFO [kea-dhcp6.dhcp6.0xe15fe612000] DHCP6_STARTED Kea DHCPv6 server version 2.4.0 started
Apr 22 19:57:43 	dhcp6c 	52073 	Sending Solicit
Apr 22 19:58:22 	kea-dhcp4 	39804 	INFO [kea-dhcp4.dhcp4.0x382428e12000] DHCP4_SHUTDOWN server shutdown
Apr 22 19:58:22 	kea-dhcp4 	39804 	INFO [kea-dhcp4.lease-cmds-hooks.0x382428e12000] LEASE_CMDS_DEINIT_OK unloading Lease Commands hooks library successful
Apr 22 19:58:22 	kea-dhcp4 	39804 	INFO [kea-dhcp4.hooks.0x382428e12000] HOOKS_LIBRARY_CLOSED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully closed
Apr 22 19:58:22 	kea-dhcp6 	40207 	INFO [kea-dhcp6.dhcp6.0xe15fe612000] DHCP6_SHUTDOWN server shutdown
Apr 22 19:58:22 	kea-dhcp6 	40207 	INFO [kea-dhcp6.lease-cmds-hooks.0xe15fe612000] LEASE_CMDS_DEINIT_OK unloading Lease Commands hooks library successful
Apr 22 19:58:22 	kea-dhcp6 	40207 	INFO [kea-dhcp6.hooks.0xe15fe612000] HOOKS_LIBRARY_CLOSED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully closed
Apr 22 19:58:22 	kea-dhcp4 	20406 	INFO [kea-dhcp4.hosts.0x1ba3d0c12000] HOSTS_BACKENDS_REGISTERED the following host backend types are available:
Apr 22 19:58:22 	kea-dhcp4 	20406 	WARN [kea-dhcp4.dhcpsrv.0x1ba3d0c12000] DHCPSRV_MT_DISABLED_QUEUE_CONTROL disabling dhcp queue control when multi-threading is enabled.
